observation_id,mdd_id,verbatim_taxon_name,taxon_match_method,reference_id,locator,method_id,call_phase,call_variant,variant_label,signal_direction,recording_condition,habitat_class,country,locality,date_or_season,n_individuals,n_calls,parameter,statistic,value,value_min,value_max,unit,dispersion_type,dispersion_value,harmonic,verbatim_value,quality_flag,notes
mst-253945c192fbae,1005600,Glischropus tylopus,exact,mcarthur-2021-borneo,supplied worksheet record BAT01348 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,hand_release,,"Sarawak, Malaysian Borneo",,,2,,peak_frequency,species_summary,64.5,,,kHz,,,,64.5 62.9-66.0,definition_unstated,"Imported from MASTER_call_records.csv record BAT01348; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=2.2. Fstart=None kHz, Fend=47.0 kHz."
mst-25bc50416e9fdb,1005105,Miniopterus australis,exact,mcarthur-2021-borneo,supplied worksheet record BAT01351 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,flight_room,,"Sarawak, Malaysian Borneo",,,4,,peak_frequency,species_summary,65.5,,,kHz,,,,65.5 60.7-70.4,definition_unstated,"Imported from MASTER_call_records.csv record BAT01351; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=4.8. Fstart=None kHz, Fend=52.6 kHz."
mst-25ccab2bff9fa2,1004675,Rhinolophus creaghi,exact,mcarthur-2021-borneo,supplied worksheet record BAT01234 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,hand_release,,"Sarawak, Malaysian Borneo",,,72,,peak_frequency,species_summary,68.1,,,kHz,,,,68.1 63.9-70.9,definition_unstated,"Imported from MASTER_call_records.csv record BAT01234; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=1.6. Fstart=None kHz, Fend=57.6 kHz."
mst-2666af8c99b612,1005158,Chaerephon plicatus,synonym_via_mdd,mcarthur-2021-borneo,supplied worksheet record BAT01362 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,hand_release,,"Sarawak, Malaysian Borneo",,,12,,inter_pulse_interval,species_summary,224.7,,,ms,,,,224.7,definition_unstated,"Imported from MASTER_call_records.csv record BAT01362; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=66.2."
mst-29d4c2fe6fcdbf,1005302,Kerivoula papillosa (small form),exact,mcarthur-2021-borneo,supplied worksheet record BAT01327 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,flight_room,,"Sarawak, Malaysian Borneo",,,11,,peak_frequency,species_summary,126,,,kHz,,,,126.0 109.4-139.5,definition_unstated,"Imported from MASTER_call_records.csv record BAT01327; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=10.0. Fstart=None kHz, Fend=84.6 kHz."
mst-2a8bbc780d4b43,1005292,Kerivoula hardwickii,exact,mcarthur-2021-borneo,supplied worksheet record BAT01317 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,flight_room,,"Sarawak, Malaysian Borneo",,,10,,inter_pulse_interval,species_summary,13.7,,,ms,,,,13.7,definition_unstated,"Imported from MASTER_call_records.csv record BAT01317; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=2.8."
mst-2a91728f79aa5b,1005442,Myotis muricola,exact,mcarthur-2021-borneo,supplied worksheet record BAT01339 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,hand_release,,"Sarawak, Malaysian Borneo",,,3,,peak_frequency,species_summary,56.1,,,kHz,,,,56.1 54.3-59.0,definition_unstated,"Imported from MASTER_call_records.csv record BAT01339; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=2.5. Fstart=None kHz, Fend=49.8 kHz."
mst-2add876c1b03da,1004565,Coelops robinsoni,exact,mcarthur-2021-borneo,supplied worksheet record BAT01289 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,unspecified,,"Sarawak, Malaysian Borneo",,,2,,duration,species_summary,1.2,,,ms,,,,1.2 1.1-1.3,definition_unstated,"Imported from MASTER_call_records.csv record BAT01289; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=0.2."
mst-2e6e62f1c50157,1005317,Murina aenea,exact,mcarthur-2021-borneo,supplied worksheet record BAT01303 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,flight_room,,"Sarawak, Malaysian Borneo",,,2,,peak_frequency,species_summary,69.4,,,kHz,,,,69.4 62.7-76.1,definition_unstated,"Imported from MASTER_call_records.csv record BAT01303; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=9.5. Fstart=None kHz, Fend=40.75 kHz."
mst-31ed4933dca9d9,1005105,Miniopterus australis,exact,mcarthur-2021-borneo,supplied worksheet record BAT01355 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,roost_emergence,,"Sarawak, Malaysian Borneo",,,20,,duration,species_summary,4,,,ms,,,,4.0 3.7-4.8,definition_unstated,"Imported from MASTER_call_records.csv record BAT01355; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=0.4."
mst-34fad29d7934f9,1004727,Rhinolophus philippinensis,exact,mcarthur-2021-borneo,supplied worksheet record BAT01243 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,hand_release,,"Sarawak, Malaysian Borneo",,,27,,peak_frequency,species_summary,33.1,,,kHz,,,,33.1 31.7-34.1,definition_unstated,"Imported from MASTER_call_records.csv record BAT01243; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=0.5. Fstart=None kHz, Fend=27.8 kHz."
mst-35769192660ee6,1004846,Nycteris tragata,exact,mcarthur-2021-borneo,supplied worksheet record BAT01297 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,flight_room,,"Sarawak, Malaysian Borneo",,,13,,peak_frequency,species_summary,94.9,,,kHz,,,,94.9 67.4-116.9,definition_unstated,"Imported from MASTER_call_records.csv record BAT01297; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=12.7. Fstart=None kHz, Fend=61.0 kHz."
mst-371a9357151a52,1004675,Rhinolophus creaghi,exact,mcarthur-2021-borneo,supplied worksheet record BAT01232 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,unspecified,,"Sarawak, Malaysian Borneo",,,83,,duration,species_summary,53,,,ms,,,,53.0 34.8-81.8,definition_unstated,"Imported from MASTER_call_records.csv record BAT01232; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=8.2."
mst-379c48b0b3f046,1005158,Chaerephon plicatus,synonym_via_mdd,mcarthur-2021-borneo,supplied worksheet record BAT01358 (maritimeSEA_borneo),mcarthur-2021-borneo-unstated,unspecified,,,,flight_room,,"Sarawak, Malaysian Borneo",,,4,,duration,species_summary,7.5,,,ms,,,,7.5 7.4-7.5,definition_unstated,"Imported from MASTER_call_records.csv record BAT01358; upload archive sha256 17ffdda2ba6929d03dabcce39119e90d4ee10712fdf690885b3d4a5128d3e464. McArthur & Khan 2021, J. Bat Research & Conservation 14(1):95-117 (open access, full text fetched). 508 individuals, 31 species, 8 families, Gunung Mulu NP + Bako NP + Wind Cave NR, Sarawak, Malaysian Borneo, 2012-2017. Table 1 gives Fppeak (peak freq), Fstart, Fend, pulse duration and interpulse interval as mean+/-SD and range, separately for stationary/flight-tent vs release calls, with n disaggregated by sex. DFA classification 80.3% overall; family-level breakdown: 96.6% for Rhinolophidae, 95.6% for Hipposideridae+Emballonuridae, only 68.0% for the FM-broadband/FM-multiharmonic/FM-QCF cluster (forest-interior Vespertilionidae). SD=0.1."
