rank,action_type,est_species_gain,region_gap,source_key,citation,url_or_doi,access_status,what_is_locked,why_it_matters,status_TODO,fetched_by,fetched_date,result_notes
11,B_BINARY_FILE,222,Colombia,S-CO-DWCA,Ramirez-Chaves HE et al. (2025). Mamiferos de Colombia v1.14. SiB Colombia. doi:10.15472/kl1whs,https://ipt.biodiversidad.co/sib/archive.do?r=mamiferos_col,open_dwca_zip,Darwin Core Archive ZIP. unzip + read taxon.txt.,World's most bat-diverse country. The ONLY major region with a known denominator but NO named species list - so no coverage audit exists for it at all.,DONE 2026-09-09 - 222-species roster at calls/rosters/colombia_bats.csv.,claude-code,2026-09-10,
12,B_BINARY_FILE,266,Africa (all six batches),S-SSA-FIGSHARE,Monadjem A et al. (2024). African bat database. Scientific Data 11:1309.,https://doi.org/10.6084/m9.figshare.26363308.v5,open_figshare_blocked,Figshare deposit + GitHub mirror github.com/kanead/Bat_database. GitHub API was rate-limited; file paths 404'd.,ALL SIX African batches currently lack a named checklist - no African coverage audit exists without this.,DONE 2026-09-09 - 292-species roster at calls/rosters/africa_bats.csv.,claude-code,2026-09-10,
13,B_BINARY_FILE,299,South Asia,S-SA-SUPP3,Srinivasulu A et al. (2025). Bat echolocation in South Asia. J Threatened Taxa 17(11). Supplementary Material 3.,https://www.threatenedtaxa.org/index.php/JoTT/article/download/9550/10560,open_but_truncated,OPEN and partially fetched - my fetch truncated at ~1/3 (got through Hipposideridae). Needs paginated fetch.,"299 observations, 86 species; only 18 currently have extracted numeric values.","DONE earlier - srinivasulu-2025-southasia.csv, 181 rows.",claude-code,2026-09-10,
14,B_BINARY_FILE,87,Vietnam,S-VN24-TABLES1,Gyorossy D et al. (2024). The calls of Vietnamese bats. Scientific Reports 14:23335. Table S1.,https://www.nature.com/articles/s41598-024-72436-6,open_table_as_image,Narrative fetched; quantitative Tables 1-8 are image/table objects. A downloadable Table S1 spreadsheet is linked on the article page.,88 species already have call-type classification; this adds the numbers.,"FETCHED 2026-09-09 but METADATA ONLY - no parameters. The values are now ingested from the archive instead, as gyorossy-2024-vietnam (15 rows). Table S1 supplies the 90-species Vietnam roster.",claude-code,2026-09-10,
15,B_BINARY_FILE,69,Mexico,S-SONOZOTZ-DRYAD,Zamora-Gutierrez V et al. (2020). Sonozotz call library. Dryad.,https://doi.org/10.5061/dryad.95x69p8g6,open_dryad,Paper fetched (species list + sample sizes already ingested); all parameter values are in this deposit and the CONABIO Selia app.,All 69 Mexican species are currently value_exists_unretrieved.,FETCHED 2026-09-09 but METADATA ONLY - no parameters. 11 rows now ingested from the archive as zamora-gutierrez-2020-sonozotz. Confirms the existing 69-species Mexico roster exactly.,claude-code,2026-09-10,
16,B_BINARY_FILE,22,Zambia,S-ZM25-SUPPL,"Taylor-Boyd H et al. (2025). Zambia call library, Supplementary Tables S1-S7.",https://repository.up.ac.za/bitstreams/6df10c46-443e-458d-89a8-be2dca1b5539/download,open,Main paper fetched (5 parameters ingested); this holds the FULL 20-parameter dataset.,Quadruples parameter depth for 22 species already in the dataset.,DONE earlier - taylor-boyd-2025.csv; 19 further archive rows deferred for merge.,claude-code,2026-09-10,
17,B_BINARY_FILE,16,Argentina,S-AR25-SUPP,Olmedo ML et al. (2026). Mammal Research 71:13. Supplementary 1 (DOCX) + 3-6 (WAVs).,https://media.springernature.com/original/springer-static/esm/art%3A10.1007%2Fs13364-025-00829-7/MediaObjects/13364_2025_829_MOESM1_ESM.docx,article_paywalled_supp_open,Article paywalled; supplementary openly hosted. Supp 1 likely IS the acoustic identification key.,Southern Cone is 100% paywalled - every one of its 14 records. This is the only opening.,"FETCHED 2026-09-09. Supplement is sites + LDA matrices, NOT the identification key; per-species values remain paywalled.",claude-code,2026-09-10,
18,C_OPEN_NOT_FETCHED,11,Mexico,S-MX-OROZCO13,"Orozco-Lugo L, Guillen-Servent A, Valenzuela-Galvan D, Arita HT (2013). Therya 4:33-46.",https://doi.org/10.12933/therya-13-103,open,Nothing - simply not fetched. Therya is fully open and this project HAS fetched Therya successfully before (Ecuador batch).,BEST VALUE-TO-EFFORT ITEM ON THIS LIST. 11 Mexican aerial insectivores with described pulses. Mexico has 69 species listed and ZERO numeric values.,DONE earlier - orozco-lugo-2013.csv.,claude-code,2026-09-10,
19,C_OPEN_NOT_FETCHED,1,Taiwan,S-SEA-COELOPS,High Duty Cycle to Low Duty Cycle: Echolocation Behaviour of the Hipposiderid Bat Coelops frithii. PLoS ONE.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3663840/,open_pmc,Not fetched.,Taiwan currently zero. Scientifically notable: an ostensibly HDC hipposiderid that consistently uses LOW duty cycle (7.7+/-2.8%) - a documented exception to the HDC/LDC split used throughout this project.,FETCHED raw/PMC3663840.xml (Europe PMC full text). Not yet mined.,claude-code,2026-09-10,
20,C_OPEN_NOT_FETCHED,7,Malaysia (Kerivoulinae),S-SEA-KERIVOULA,"Schmieder DA, Kingston T, Hashim R, Siemers BM (2010). Biology Letters 6(5):604-609.",https://pmc.ncbi.nlm.nih.gov/articles/PMC2936139,open_pmc,Not fetched.,Kerivoula pellucida buzz calls reach 250 kHz start frequency - stated as the most broadband and highest-pitched tonal animal vocalization known.,BLOCKED - PMC2936139 is not in the Europe PMC open-access subset.,claude-code,2026-09-10,
21,C_OPEN_NOT_FETCHED,4,Vietnam (urban),S-VN-URBAN21,Description of Echolocation Call Parameters for Urban Bats in Vietnam. Diversity 13(1):18.,https://doi.org/10.3390/d13010018,open_mdpi,Not fetched.,MDPI fully open. 4 species with DFA >87.4%.,BLOCKED - MDPI returns 403 to this IP. Needs a real browser.,claude-code,2026-09-10,
22,C_OPEN_NOT_FETCHED,,Cambodia,S-KH-PHAUK13,"Phauk S, Phen S, Furey NM (2013). Cambodian bat echolocation. Cambodian Journal of Natural History 2013:16-26.",,open_likely,Journal is open access; direct PDF not located this session.,Cambodia currently ZERO. Repeatedly cited across SE Asian acoustic literature.,NOT FOUND - no Crossref record; Cambodian Journal of Natural History appears not to deposit DOIs.,claude-code,2026-09-10,
23,D_BROWSER,29,Caribbean (Trinidad),S-TT-PIO10,"Pio DVV, Clarke FM, MacKie I, Racey PA (2010). Echolocation Calls of the Bats of Trinidad. Acta Chiropterologica 12(1):217-229.",https://doi.org/10.3161/150811010X504716,paywalled_or_blocked,BioOne subscriber-only notice on fetch.,"29 species, 5 families, 12 phyllostomids described for the FIRST time. Richest untapped Caribbean source. One value escaped only via an unrelated paper quoting it.","BLOCKED - confirmed genuinely closed access, not a bot wall. Reclassify to Tier E.",claude-code,2026-09-10,
24,D_BROWSER,12,Caribbean (Lesser Antilles),S-JENN04,"Jennings NV, Parsons S, Barlow KE, Gannon MR (2004). Echolocation calls and wing morphology of bats from the West Indies. Acta Chiropterologica 6(1):75-90.",https://doi.org/10.3161/001.006.0106,open_but_bot_blocked,"CONFIRMED OPEN on BioOne's own metadata page. Failed 3x: direct URL, download endpoint, ResearchGate mirror - all returned Incapsula challenges.","119 bats, 12 species, Puerto Rico/Dominica/St Vincent. Not a paywall - a bot wall.","DONE 2026-09-09 - jennings-2004.csv, 139 rows, 14 species.",claude-code,2026-09-10,
25,D_BROWSER,15,Madagascar,S-MG09,Kofoky AF et al. (2009). Forest bats of Madagascar: results of acoustic surveys. Acta Chiropterologica 11(2):375-392.,https://doi.org/10.3161/150811009X485602,open_but_bot_blocked,BioOne bot-blocked; ResearchGate returned HTTP 429.,"15 species, 6 described acoustically for the first time. Madagascar's numeric values are almost entirely missing without it - current data is 4 medium/low-confidence rows.",BLOCKED - confirmed genuinely closed access. Reclassify to Tier E.,claude-code,2026-09-10,
26,D_BROWSER,15,Middle East,S-IL-HACKETT17,"Hackett TD, Holderied MW, Korine C (2017). Echolocation call description of 15 species of Middle-Eastern desert dwelling insectivorous bats. Bioacoustics 26(3):217-235.",https://research-information.bris.ac.uk/files/155451945/Acoustic_identification_of_bats_in_the_Arava_desert.pdf,open_manuscript_blocked,Open author manuscript on Bristol's repository (947 recorded downloads). PDF specifically bot-blocked; the metadata page fetched fine.,"15 species from a community shared with Jordan, Syria, Saudi Arabia. Abstract reports 4 species using 6 call types that appear to ACTIVELY SEPARATE frequencies - the only candidate case of acoustic character displacement found anywhere in this project.",BLOCKED - 403 on the only OA copy. Correct DOI is 10.1080/09524622.2016.1247386.,claude-code,2026-09-10,
27,D_BROWSER,,Chile,S-CL-LUCID,"Miller BW, Ossa G (2021). Guide to identification of the bats of Chile. Lucid key.",https://keys.lucidcentral.org/keys/v4/bats/chile/,open_js_app,Interactive JavaScript key - unscrapeable but browsable.,Same team's HONDURAS key (keys.lucidcentral.org/keys/v4/bats/honduras/) is equally relevant to the Central America batch.,TODO,,,
28,E_INSTITUTIONAL,26,Europe,S-EU-OBRIST04,"Obrist MK, Boesch R, Flueckiger PF (2004). Variability in echolocation call design of 26 Swiss bat species. Mammalia 68:307-322.",https://doi.org/10.1515/mamm.2004.030,paywalled,,Underpins 12 currently-unverified numbers in the Europe batch that were sourced via Wikipedia's triplet. Would convert them to real citations.,TODO,,,
29,E_INSTITUTIONAL,22,Europe,S-EU-RUSSO02,"Russo D, Jones G (2002). Identification of twenty-two bat species from Italy by analysis of time-expanded recordings of echolocation calls. J. Zool. 258:91-103.",https://doi.org/10.1017/S0952836902001231,paywalled,,One of the two foundational European references. Europe is currently the worst-covered major region.,TODO,,,
30,E_INSTITUTIONAL,,Europe,S-EU-WALTERS12,Walters CL et al. (2012). A continental-scale tool for acoustic identification of European bats (iBatsID). J. Appl. Ecol. 49.,https://doi.org/10.1111/j.1365-2664.2012.02182.x,paywalled,Full text blocked; only abstract-level findings used.,Establishes WHICH European species are not acoustically separable - directly relevant to the 10 genuine Myotis/Plecotus gaps.,TODO,,,
31,E_INSTITUTIONAL,30,Venezuela,S-VE-OCHOA00,"Ochoa J, O'Farrell MJ, Miller BW (2000). Contribution of acoustic methods to the study of insectivorous bat diversity in protected areas from northern Venezuela. Acta Chiropterologica 2(2):171-183.",https://doi.org/10.3161/001.002.0205,paywalled,,"VENEZUELA IS ZERO (~174 species). Abstract confirms 30 SPECIES identified acoustically, 15 genera, 5 families; 19 verified by capture-and-release.",TODO,,,
32,E_INSTITUTIONAL,4,Venezuela,S-VE-MILLER24,"Miller BW, Ochoa J, Garcia FJ, O'Farrell MJ (2024). Diclidurus review. Acta Chiropterologica 25(2):279-298.",https://doi.org/10.3161/15081109ACC2023.25.2.008,paywalled,,All four Diclidurus species with echolocation parameters compared. Complements French Guiana Diclidurus data already held.,TODO,,,
33,E_INSTITUTIONAL,19,Thailand,S-TH-HUGHES11,"Hughes AC et al. (2011). Using echolocation calls to identify Thai bat species: Vespertilionidae, Emballonuridae, Nycteridae, Megadermatidae. Acta Chiropterologica 13(2):447-455.",https://doi.org/10.3161/150811011X624938,paywalled,BioOne subscriber-only. An academia.edu copy exists.,"THAILAND IS ZERO. 510 calls, 19 species, 4 call types with per-type DFA accuracies.",TODO,,,
34,E_INSTITUTIONAL,,Thailand,S-TH-HUGHES10,Hughes AC et al. (2010). Rhinolophoid bats of Thailand (the CF-family companion paper). Acta Chiropterologica 12(2).,https://doi.org/10.3161/150811010X537954,paywalled,,Covers Hipposideridae + Rhinolophidae for Thailand - the CF families the 2011 paper excludes.,TODO,,,
35,E_INSTITUTIONAL,,Africa (S+C),S-AFR-MTC2020,"Monadjem A, Taylor PJ, Cotterill FPD, Schoeman MC (2020). Bats of Southern and Central Africa, 2nd ed. Wits University Press, 596pp.",,paywalled_book,,Cited by ALL THREE southern African batches as the standard reference. Most-cited inaccessible source in the African portion.,TODO,,,
36,E_INSTITUTIONAL,,Europe,S-EU-RUSS21,"Russ J (ed., 2021). Bat Calls of Britain and Europe. Pelagic Publishing.",,paywalled_book,"Chs 8.15, 8.16.",The ONLY dedicated accounts for Myotis crypticus and M. escalerai - two of Europe's 10 genuine gaps.,TODO,,,
37,E_INSTITUTIONAL,2,New Zealand,S-NZ-PARSONS97,Parsons S (1997). Search-phase echolocation calls of Mystacina tuberculata and Chalinolobus tuberculatus. Can. J. Zool. 75:1487-1494.,https://doi.org/10.1139/z97-772,paywalled,,Full per-population quantitative table; only anchor values (28/40 kHz) currently held.,TODO,,,
38,E_INSTITUTIONAL,4,Cuba,S-CU-MORM12,"Mancina CA, Garcia-Rivera L, Miller BW (2012). Wing morphology, echolocation and resource partitioning in syntopic Cuban mormoopids. J. Mammal. 93(5):1308-1317.",https://doi.org/10.1644/11-MAMM-A-331.1,paywalled,Oxford Academic; abstract only.,4 syntopic Cuban species; no per-species numeric parameters retrieved.,TODO,,,
39,E_INSTITUTIONAL,16,Morocco,S-MA14,"Disca T, Allegrini B, Prie V (2014). Caracteristiques acoustiques des cris d'echolocation de 16 especes de Chiropteres du Maroc. Vespere 3:209-229.",,cited_not_retrieved,,THE key North African reference. Morocco/Algeria/Libya/Egypt contribute NOTHING to the North Africa batch (Tunisia-only).,TODO,,,
40,E_INSTITUTIONAL,,Algeria,S-DZ20,"Ahmim M, Dalhoumi R, Mantoiu DS (2020). First data on the acoustic characteristics of some Chiropteran species from northern Algeria. Bioacoustics 29(5):499-517.",https://doi.org/10.1080/09524622.2019.1620634,paywalled,,Explicitly 'the first bioacoustics prospection of the bats of Algeria'.,TODO,,,
41,E_INSTITUTIONAL,10,West Africa (Nigeria),S-NG21,"Tanshi I, Obitte BC, Monadjem A, Kingston T (2021). Hidden Afrotropical bat diversity in Nigeria: ten new country records. Acta Chiropterologica 23:313-343.",,cited_not_retrieved,One value reaches the dataset only via citation inside another source's table.,Likely the richest untapped WEST AFRICAN source. West/Central Africa is the thinnest African batch (9 taxa).,TODO,,,
42,F_RESOLVE_CITATION,,Bahamas,S-BH-EXUMA,"'Characterization of the Echolocation Calls of Bats from Exuma, Bahamas.' Acta Chiropterologica. Authors/volume/year NOT resolved.",https://www.researchgate.net/publication/233685504,citation_incomplete,"Only a ResearchGate ID confirmed. Table 1 structure known (7 parameters, per harmonic) but numeric cells truncated in search results.",Provenance is unsound until the real citation is confirmed. Data may be fine; the attribution is not.,TODO,,,
43,F_RESOLVE_CITATION,,Cuba,S-CU-PHFA,'Echolocation behaviour of Phyllops falcatus: unusual frequency range of the first harmonic.' Authors/journal/year NOT resolved.,https://www.researchgate.net/publication/232688803,citation_incomplete,Title and abstract fragment confirmed; full metadata not.,Provenance is unsound until the real citation is confirmed. Data may be fine; the attribution is not.,TODO,,,
44,F_RESOLVE_CITATION,,PNG,S-PNG-PHIM,Range extension and first voucher echolocation call for Pharotis imogene. Full citation NOT resolved.,https://www.academia.edu/164966121/,citation_incomplete,academia.edu hosting only; text truncated mid-value for at least one further Hipposideros species.,Provenance is unsound until the real citation is confirmed. Data may be fine; the attribution is not.,TODO,,,
45,F_RESOLVE_CITATION,,PNG,S-PNG-LP11,"Leary T, Pennay M (2011). Echolocation calls of eight microchiroptera from Papua New Guinea. In: The Biology and Conservation of Australasian Bats.",https://meridian.allenpress.com/australian-zoologist/book/670/chapter/12070205/,cited_not_retrieved,"SPECIES IDENTITIES NEVER RESOLVED - recorded as an unnamed placeholder rather than guessed. 744 reference sequences, 8 species.",Provenance is unsound until the real citation is confirmed. Data may be fine; the attribution is not.,TODO,,,
46,F_RESOLVE_CITATION,,Indonesia (Sulawesi),S-SULAWESI-SONO,"Bat sonotype study, Makassar, Sulawesi. Author/year not resolved.",,cited_not_retrieved,"Its reference list is itself a map of SE Asian call sources (Collen 2012, Donnelly 2021, Gorfol 2022, Jinggong 2022).",Provenance is unsound until the real citation is confirmed. Data may be fine; the attribution is not.,TODO,,,
47,F_RESOLVE_CITATION,,West Africa,S-NIMBA13,Monadjem A et al. (2013). Hipposideridae of Mount Nimba. Acta Chiropterologica 15:341-352.,,open_via_intermediary,Reached ONLY via a ResearchGate table extract. All 4 records marked extraction_confidence=medium; sample sizes not captured.,Provenance is unsound until the real citation is confirmed. Data may be fine; the attribution is not.,REFUSED on provenance - reachable only through a ResearchGate table extract. 1 archive row held back.,claude-code,2026-09-10,
48,G_VERIFY_ERROR,,North America,S-SB-W / S-SB-E,"Szewczak JM. SonoBat acoustic tables, western and eastern North America.",https://sonobat.com/download/Western_NA_Bat_Acoustic_Table.pdf,open,"7 records carry suspected extraction/source-error flags: Idionycteris phyllotis char.freq, Nyctinomops macrotis high-freq AND duration, Antrozous pallidus, Myotis septentrionalis, Myotis velifer. Also Corynorhinus rafinesquii is effectively n=1 (ranges collapse to 40-40, 22-22, 33-33) yet carries a printed mean and SD.",ALL 239 North American records are measured_compiled from ONE author's two tables - zero measured_primary. Broadest coverage in the project on the narrowest evidence base. An independent cross-check found N. macrotis at 13.4 kHz (SonoBat) vs 17.43 kHz (Peru) - a 4 kHz gap in a species already flagged for two other errors.,PARTLY ADDRESSED - both re-imported from the consolidated archive (133 and 93 rows) with call phase and harmonic recovered. Still the only North American evidence base; the verification task stands.,claude-code,2026-09-10,
49,G_VERIFY_ERROR,,South America,S-CONFLICT-REGISTER,See CONFLICT_REGISTER.csv - 6 species with unresolved >20 kHz internal disagreement.,,internal,Thyroptera tricolor (51 vs 123 kHz) and T. discifera (53 vs 112.5) both sit near a 1:2 ratio - almost certainly an UNLABELLED fundamental-vs-2nd-harmonic mismatch that survived harmonic normalisation.,Two of the six are probably fixable by simply identifying which harmonic each source reported.,RESOLVED for Thyroptera. Both T. tricolor and T. discifera now agree across sources (53.09 vs 51.0; 53.0 vs 52.5) once Barataud 2013's harmonic-labelled values are in. The suspected fundamental-vs-second-harmonic mismatch is confirmed as the cause.,claude-code,2026-09-10,
