priority_tier,method,est_species_gain,batch,source_key,access_status,citation,url,what_is_locked,status_todo
2,B_BROWSER,12,caribbean,S-JENN04,open_but_bot_blocked,"Jennings NV, Parsons S, Barlow KE, Gannon MR (2004). Echolocation calls and wing morphology of bats from the West Indies. Acta Chiropterologica 6(1):75-90. doi:10.3161/001.006.0106",https://bioone.org/journals/acta-chiropterologica/volume-6/issue-1/001.006.0106/Echolocation-Calls-and-Wing-Morphology-of-Bats-from-the-West/10.3161/001.006.0106.full,"CONFIRMED OPEN ACCESS but BLOCKED BY BOT DETECTION on three separate attempts: the direct BioOne full-text URL, the complete.bioone.org download endpoint, and a ResearchGate mirror all returned Incapsula bot-challenge pages rather than content. 119 bats, 12 species (14 named taxa), 3 families, Puerto Rico/Dominica/St Vincent, 1994-1996. Species list and several structural notes were recovered from search-result text fragments (which Google/Bing apparently cached before the bot wall), but the core Table 1 (5 temporal/frequency variables per taxon) was not retrieved. RETRY PRIORITY: HIGH - this ","FETCHED raw/jennings04.pdf (17 pp, full text)"
3,C_INSTITUTIONAL,24,africa,S-MTC2020,paywalled_book,"Monadjem A, Taylor PJ, Cotterill FPD, Schoeman MC (2020). Bats of Southern and Central Africa: A Biogeographic and Taxonomic Synthesis, 2nd edition. Wits University Press.",,"THE standard reference for this entire region, cited by every other source in this batch as the source of broad (non-quantitative) call descriptions for most southern African species. 589 pages. Not accessible as a book; not fetched this pass. Very likely the single highest-value acquisition for expanding this batch beyond the 24 species Swaziland covers.",TODO
3,C_INSTITUTIONAL,,africa_eastafrica,S-PYE72,paywalled,Pye JD (1972). Bimodal distribution of constant frequencies in some hipposiderid bats (Mammalia: Hipposideridae). Journal of Zoology 166(3):323-335.,https://doi.org/10.1111/j.1469-7998.1972.tb03102.x,"Historical source (1972) for Kenyan hipposiderid CF frequencies, including the original observation of sex-based bimodality in Triaenops afer and the two Macronycteris 'phonotypes'. Values reach this dataset only via citation in S-KE19.",TODO
3,C_INSTITUTIONAL,,africa_northafrica,S-DZ20,paywalled,"Ahmim M, Dalhoumi R, Stefan Mantoiu D (2020). First data on the acoustic characteristics of some Chiropteran species from northern Algeria. Bioacoustics 29(5):499-517. doi:10.1080/09524622.2019.1620634",https://doi.org/10.1080/09524622.2019.1620634,"Explicitly described in its own abstract as 'the first bioacoustics prospection of the bats of Algeria'. Covers Myotis punicus, Pipistrellus pipistrellus, Hypsugo savii and others with spectrograms and per-species parameters. PAYWALLED at Taylor & Francis; a partial ResearchGate copy was located but not fetched. High-priority target - Algeria is the largest North African country and this is its foundational acoustic paper.",TODO
3,C_INSTITUTIONAL,,africa_northafrica,S-DZ20b,paywalled,"Loumassine HE, Bonnot N, Allegrini B, Bendjeddou ML, Bounaceur F, Aulagnier S (2020). How arid environments affect spatial and temporal activity of bats. Journal of Arid Environments 180:104206.",https://doi.org/10.1016/j.jaridenv.2020.104206,"Northern Algerian Sahara. Cited by S-TN23 as the ONLY other study reporting Pipistrellus kuhlii frequencies comparable to the Tunisian desert values, and as having reported frequencies high enough to suggest the two ecomorphotypes might be separable - a direct contradiction of the Tunisian result. Resolving this disagreement requires both datasets.",TODO
3,C_INSTITUTIONAL,,africa_zambia,S-AFR-MTC2020,paywalled_book,"Monadjem A, Taylor PJ, Cotterill FPD, Schoeman MC (2020). Bats of Southern and Central Africa, 2nd edition. Wits University Press, 596 pp.",,"Now cited as the primary comparison reference in ALL THREE African batches of this project. S-ZM25 compares its Frequency of Maximum Power values directly against this book's Frequency of Maximum Energy values, finding consistently higher values in the newer study - attributed to measurement method (SonoBat automated per-pulse vs BatSound manual) rather than a real biological difference. Remains unfetched and is the most-cited inaccessible source in the African portion of this project.",TODO
3,C_INSTITUTIONAL,,australia_nz,S-NZ,paywalled,"Parsons, S. (1997). Search-phase echolocation calls of the New Zealand lesser short-tailed bat (Mystacina tuberculata) and long-tailed bat (Chalinolobus tuberculatus). Canadian Journal of Zoology 75:1487-1494. Plus: Parsons, S. (2001) J. Zool. 253; Jones, G. et al. (2003) J. Exp. Biol. 206.",https://cdnsciencepub.com/doi/10.1139/z97-772,"Full primary table (per-subspecies/per-population means and SDs) NOT retrieved - values here (28 kHz Mystacina, 40 kHz Chalinolobus) are anchor/FME values repeated across multiple secondary sources, confirmed consistent everywhere they appear, but not the underlying quantitative table itself. Flagged value_exists_unretrieved for the numeric detail; the qualitative findings (multiharmonic phyllostomid-convergent design, terrestrial call production, regional DFA separation) are well documented in retrievable text and are treated as measured_primary here since they are direct findings of the prim",TODO
3,C_INSTITUTIONAL,,caribbean,S-CU-PP07,paywalled,"Mora EC, Macias S (2007). Echolocation calls of Poey's flower bat (Phyllonycteris poeyi) unlike those of other phyllostomids. Naturwissenschaften 94:380-383. doi:10.1007/s00114-006-0198-7",https://link.springer.com/article/10.1007/s00114-006-0198-7,"Full text paywalled at Springer (no shareable link available per the publisher page); abstract and real quantitative anchors (7.2 ms max duration, 15 m minimum detection range, <50 kHz) recovered via the abstract plus three independent secondary citations (Gessinger et al. 2019, Brinklov et al. 2009, and a Mammalian Species account) that quote its findings directly. One of the best-documented single-species findings in this entire project despite the primary paper itself being inaccessible.",TODO
3,C_INSTITUTIONAL,,caribbean,S-CU-MORM12,paywalled,"Mancina CA, Garcia-Rivera L, Miller BW (2012). Wing morphology, echolocation, and resource partitioning in syntopic Cuban mormoopid bats. Journal of Mammalogy 93(5):1308-1317. doi:10.1644/11-MAMM-A-331.1",https://academic.oup.com/jmammal/article/93/5/1308/858811,"PAYWALLED at Oxford Academic (confirmed: 24-hour rental notice, DeepDyve rental also offered instead of open access). Abstract-level findings only: 4 syntopic species (Pteronotus macleayii, P. parnellii, P. quadridens, Mormoops blainvillei), Sierra del Rosario Biosphere Reserve, 31 nights, mist nets/harp traps/automated Anabat. No per-species numeric call parameters retrieved.",TODO
3,C_INSTITUTIONAL,,centralamerica,S-JUNG07,paywalled,"Jung, K., Kalko, E.K.V. & von Helversen, O. (2007). Echolocation calls in Central American emballonurid bats: signal design and call frequency alternation. Journal of Zoology 272:125-137.",https://doi.org/10.1111/j.1469-7998.2006.00250.x,The primary source behind most CA-Tr emballonurid rows in S-AA18. Obtaining it would replace compiled values with primary ones and resolve the frequency-alternation bands.,TODO
3,C_INSTITUTIONAL,,centralamerica,S-BARC81,paywalled,"Barclay, R.M.R. et al. (1981). Echolocation calls produced by Trachops cirrhosus while hunting for frogs. Can. J. Zool.",https://cdnsciencepub.com/doi/abs/10.1139/z81-107,"<70 dB SPL at 10 cm, <1 ms, multiharmonic FM, energy 100 down to ~50 kHz. CONFLICTS with S-SURL13 on intensity; different behaviour and method. Both retained as separate rows.",TODO
3,C_INSTITUTIONAL,,europe,S14,paywalled,"Jones, G. & Rayner, J.M.V. Foraging behaviour and echolocation of wild horseshoe bats Rhinolophus ferrumequinum and R. hipposideros. Behav. Ecol. Sociobiol.",https://link.springer.com/article/10.1007/BF00302917,Source for the second-harmonic structure of R. hipposideros calls.,TODO
3,C_INSTITUTIONAL,,europe,S15,paywalled,"Walters, C.L. et al. (2012). A continental-scale tool for acoustic identification of European bats (iBatsID). Journal of Applied Ecology 49.",https://besjournals.onlinelibrary.wiley.com/doi/10.1111/j.1365-2664.2012.02182.x,Establishes which European species are NOT acoustically separable. Full text blocked; only the abstract-level findings were retrievable.,TODO
3,C_INSTITUTIONAL,,europe,S18,paywalled,"Yovel, Y., Geva-Sagiv, M. & Ulanovsky, N. Click-based echolocation in bats: not so primitive after all. J. Comp. Physiol. A.",https://cris.iucc.ac.il/en/publications/click-based-echolocation-in-bats-not-so-primitive-after-all/,Click duration ~50-100 microseconds; earlier long-duration reports were an artifact.,TODO
3,C_INSTITUTIONAL,,europe,S26,paywalled_book,"Russ, J. (ed., 2021). Bat Calls of Britain and Europe. Pelagic Publishing. Ch. 8.15 (M. crypticus), 8.16 (M. escalerai).",https://link.springer.com/referenceworkentry/10.1007/978-3-030-44029-9_57,THE source for the recently split Myotis. Not obtained. Cited via the Handbook of the Mammals of Europe chapter on the M. nattereri complex.,TODO
3,C_INSTITUTIONAL,,europe,S29,paywalled,Bats' echolocation call characteristics of cryptic Iberian Eptesicus species. Eur. J. Wildl. Res. (2015) 61.,https://link.springer.com/article/10.1007/s10344-015-0957-x,52 individuals from molecularly identified colonies. Peak frequency higher in E. isabellinus than E. serotinus but overlapping 23.4-28.8 kHz; ~78.8% correct classification.,TODO
3,C_INSTITUTIONAL,,europe,S32,paywalled,"Teixeira, S. & Jesus, J. (2009). Echolocation calls of bats from Madeira Island: acoustic characterization and implications for surveys. Acta Chiropterologica 11(1).",https://bioone.org/journals/Acta-Chiropterologica/volume-11/issue-1/150811009X465802/Echolocation-Calls-of-Bats-from-Madeira-Island--Acoustic-Characterization/10.3161/150811009X465802.short,FIRST description of P. maderensis and N. leisleri verrucosus calls; 791 time-expanded recordings. Numeric values behind the paywall - the highest-value single acquisition for the Macaronesian species.,TODO
3,C_INSTITUTIONAL,,southamerica_southerncone,S-AR-MD24,paywalled,"Gonzalez Noschese CS, Olmedo ML, Diaz MM (2024). First characterization of the echolocation calls of Myotis dinellii (Chiroptera: Vespertilionidae). Mammal Research 69:53-58. doi:10.1007/s13364-023-00718-x",https://link.springer.com/article/10.1007/s13364-023-00718-x,"PAYWALLED. Abstract supplies real values (start 78.8 kHz, end 39.6 kHz, duration 3.5 ms, 21 specimens, 27 passes, 121 pulses) but the full table - including PEAK frequency, bandwidth, min/max frequency and interpulse interval - is behind the paywall. Species restricted to Bolivia and Argentina, so this is the only source for a genuinely Southern Cone endemic.",TODO
3,C_INSTITUTIONAL,,southamerica_southerncone,S-CL13,paywalled,"Rodriguez-San Pedro A, Simonetti JA (2013). Acoustic identification of four species of bats (Order Chiroptera) in central Chile. Bioacoustics 22:165-172. doi:10.1080/09524622.2013.763384",https://www.tandfonline.com/doi/abs/10.1080/09524622.2013.763384,"PAYWALLED. The foundational Chilean acoustic paper. Four species, six parameters, 87.4% DFA classification. Structural descriptions captured from the abstract; no numeric values retrieved.",TODO
3,C_INSTITUTIONAL,,southamerica_southerncone,S-AR-HIST23,paywalled,"Gimenez AL, De Paz O, Giannini NP (2023). Acoustic differentiation and its relationships with ear size in three Histiotus species (Chiroptera, Vespertilionidae) from Patagonia, Argentina. Mammal Research 68:383-395. doi:10.1007/s13364-023-00688-0",https://link.springer.com/article/10.1007/s13364-023-00688-0,"PAYWALLED, not fetched. Relates acoustic differentiation to EAR SIZE across three Patagonian Histiotus - directly relevant to the body-size/call-frequency allometry questioned in this project's North Africa batch. The three species were NOT confirmed from retrieved metadata; the trio encoded here is inferred and flagged medium confidence.",TODO
4,E_RESOLVE_CITATION,145,africa_eastafrica,S-EA-KEYS,open_abstract,"Patterson BD, Webala PW (2012). Keys to the Bats (Mammalia: Chiroptera) of East Africa. Fieldiana Life and Earth Sciences 6:1-60.",https://bioone.org/journals/fieldiana-life-and-earth-sciences/volume-2012/issue-6/2158-5520-12.6.1/,"145 species across Kenya (108), Tanzania (105), Uganda (98), Rwanda (49), Burundi (33). MORPHOLOGICAL key, not acoustic. Used here only as the species-count denominator. Full text not fetched; no named species list obtained for East Africa this batch.",TODO
4,E_RESOLVE_CITATION,145,africa,S-EA-KEYS,open_abstract,"Patterson BD, Webala PW (2012). Keys to the Bats (Mammalia: Chiroptera) of East Africa. Fieldiana Life and Earth Sciences 6:1-60.",https://bioone.org/journals/fieldiana-life-and-earth-sciences/volume-2012/issue-6/2158-5520-12.6.1/,"145 species stated for Kenya (108), Tanzania (105), Uganda (98), Rwanda (49) and Burundi (33) combined. A morphological identification KEY, not an acoustic source. Full text not fetched this pass.",TODO
4,E_RESOLVE_CITATION,95,mainlandSEA,S-MY-CHECKLIST,open_abstract,"Bates PJJ et al. (2005). A review of the genera Myotis, Ia, Pipistrellus, Hypsugo, and Arielulus (Chiroptera: Vespertilionidae) from Myanmar (Burma). Acta Chiropterologica 7(2):205-236. Cross-checked against Bates et al. 2004 (Rhinolophus review, 94 spp total).",https://bioone.org/journals/acta-chiropterologica/volume-7/issue-2,"95 species stated (2005), up from 94 (2004). DATED - two decades of subsequent splits (Murina, Myotis, Kerivoula, Hypsugo genera especially) almost certainly push the true current total higher; no updated country-wide total was located in this pass. No dedicated Myanmar echolocation-call source was identified or fetched in this batch - a genuine zero for this country specifically.",TODO
4,E_RESOLVE_CITATION,8,eastasia,S-JP-FUKUI04,open_abstract,"Fukui D, Agetsuma N, Hill DA (2004). Acoustic identification of eight species of bat inhabiting forests of Southern Hokkaido, Japan. Zoological Science 21(9):947-955.",https://bioone.org/journals/zoological-science/volume-21/issue-9/zsj.21.947,"Cited extensively by both the Korea and China reviews above as a key regional reference. 8 species, 171 calls, Tomakomai Experimental Forest, Hokkaido. Full text not fetched this pass - abstract-level only.",TODO
4,E_RESOLVE_CITATION,5,maritimeSEA,S-KINGSTON03,open_abstract,"Kingston T, Jones G, Akbar Z, Kunz TH (2003). Alternation of echolocation calls in 5 species of aerial-feeding insectivorous bats from Malaysia. Journal of Mammalogy 84(1):205-215.",https://academic.oup.com/jmammal/article/84/1/205/2373141,"Krau Wildlife Reserve, Peninsular Malaysia. Chaerephon johorensis, Mops mops, Cheiromeles torquatus (Molossidae) + Hesperoptenus blanfordi, Pipistrellus stenopterus (Vespertilionidae). All 5 species: narrowband, long-duration (6-21ms) calls, 16-44 kHz, with alternation between two peak frequencies when flying above 10m. Full numeric table not fetched - abstract-level only.",TODO
4,E_RESOLVE_CITATION,,africa_westcentral,S-NIMBA13,open_via_intermediary,"Monadjem A, et al. (2013). Diversity of Hipposideridae in the Mount Nimba massif, west Africa, and the taxonomic status of Hipposideros lamottei. Acta Chiropterologica 15:341-352.",https://www.researchgate.net/figure/Echolocation-calls-of-Hipposideros-species-at-Mount-Nimba-Sample-size-n-is-the-number_tbl1_260105698,"Reached only via a ResearchGate figure/table extract, NOT the publisher. Mount Nimba spans Guinea, Liberia and Cote d'Ivoire. Contains the C1/E1 cryptic-lineage acoustic separation and the H. lamottei value. Extraction confidence marked MEDIUM throughout - the underlying table was not read in full and sample sizes were not captured. Should be re-fetched from Acta Chiropterologica directly.",TODO
4,E_RESOLVE_CITATION,,africa_zambia,S-ZM25-LIBRARY,open_on_request,Bats without Borders call library (raw recordings underlying Taylor-Boyd et al. 2025).,https://www.batswithoutborders.org,The actual audio recordings are held by Bats without Borders and available by email request to info@batswithoutborders.org. Not a public download. Relevant if raw call files (rather than summary parameters) are ever needed.,TODO
4,E_RESOLVE_CITATION,,centralamerica,S-BARA13,open_unverified,"Barataud, M., Giosa, S., Leblanc, F., Rufray, V., et al. (2013). Identification et ecologie acoustique des chiropteres de Guyane Francaise. Le Rhinolophe 19:103-145.",,"Comprehensive French Guiana compilation covering 8 families. Heavily cited by S-AA18. French Guiana, not Central America, but many shared species. NOT INGESTED.",TODO
4,E_RESOLVE_CITATION,,centralamerica,S-BRIN09,open_abstract,"Brinklov, S., Kalko, E.K.V. & Surlykke, A. (2009). Intense echolocation calls from two 'whispering' bats, Artibeus jamaicensis and Macrophyllum macrophyllum (Phyllostomidae). J. Exp. Biol. 212:11-20.",https://pubmed.ncbi.nlm.nih.gov/19088206/,Panama. Multi-microphone array. Directly contradicts the ~70 dB SPL 'whispering' assumption for Phyllostomidae.,TODO
4,E_RESOLVE_CITATION,,centralamerica,S-BRIN10,open_abstract,"Brinklov, S., Kalko, E.K.V. & Surlykke, A. (2010). Dynamic adjustment of biosonar intensity to habitat clutter in the bat Macrophyllum macrophyllum. Behav. Ecol. Sociobiol. 64:1867-1874.",https://doi.org/10.1007/s00265-010-0998-9,"Source level 100/105/111 dB SPL rms across cluttered/semi-cluttered/open space. Intensity is a habitat variable, not a species constant.",TODO
4,E_RESOLVE_CITATION,,denmark,S4,open_via_intermediary,"Wikipedia species articles, which report a standard triplet (frequency range, frequency of most energy, mean duration) sourced to Parsons & Jones (2000) J. Exp. Biol. 203:2641-2656 and Obrist, Boesch & Flueckiger (2004) Mammalia 68:307-322.",https://en.wikipedia.org/wiki/Bechstein%27s_bat,NOT VERIFIED AGAINST THE PRIMARY PAPERS. Obrist et al. 2004 is paywalled and I could not retrieve it. Treat these three numbers as needing a check against Parsons & Jones 2000 / Obrist et al. 2004 before publication.,TODO
4,E_RESOLVE_CITATION,,europe,S4,open_via_intermediary,"Wikipedia species articles, which report a standard triplet (frequency range, frequency of most energy, mean duration) sourced to Parsons & Jones (2000) J. Exp. Biol. 203:2641-2656 and Obrist, Boesch & Flueckiger (2004) Mammalia 68:307-322.",https://en.wikipedia.org/wiki/Bechstein%27s_bat,NOT VERIFIED AGAINST THE PRIMARY PAPERS. Obrist et al. 2004 is paywalled and I could not retrieve it. Treat these three numbers as needing a check against Parsons & Jones 2000 / Obrist et al. 2004 before publication.,TODO
4,E_RESOLVE_CITATION,,europe,S12b,open_via_intermediary,Comparative analysis of echolocation calls of Iranian rhinolophids (mean dominant frequency +/- SD for all five European species).,https://www.researchgate.net/publication/347436369_Comparative_analysis_of_the_echolocation_calls_of_the_lesser_horseshoe_bat_Rhinolophus_hipposideros_and_the_Mediterranean_horseshoe_bat_Rhinolophus_euryale_in_the_Carpathian_Basin,"IRANIAN POPULATIONS, not European. Included because it is the only source giving means and SDs for all five species together. Rhinolophid CF frequency varies geographically by several kHz, so these values must not be presented as European.",TODO
4,E_RESOLVE_CITATION,,europe,S17,open_via_intermediary,"Russo, D. et al. Social calls are subject to stabilizing selection in insectivorous bats / Miniopterus schreibersii social call identification.",https://www.researchgate.net/figure/Spectrogram-of-typical-Miniopterus-schreibersii-social-calls-buzz-like-sequences-of_fig1_280776109,End-frequency criterion 49-53 kHz for M. schreibersii echolocation sequences. Resolve to the primary citation before publishing.,TODO
4,E_RESOLVE_CITATION,,europe,S18c,open_via_intermediary,"Encyclopedia of Life / Animal Diversity Web account for Rousettus aegyptiacus, citing Roberts (1975) and Holland et al. (2004).",https://www.eol.org/pt-BR/pages/323421/articles,Click frequency range 12-70 kHz. Secondary source; verify against Holland et al. 2004.,TODO
4,E_RESOLVE_CITATION,,europe,S19,open_via_intermediary,"Postnatal development of vocalization in Myotis emarginatus, Kerend Cave, western Iran (12 adult females).",https://www.researchgate.net/figure/Typical-echolocation-and-directive-calls-of-an-adult-Myotis-emarginatus_fig1_351349272,"IRANIAN, ROOST-RECORDED. Peak frequency 92.2 kHz is far above European free-flying values; do not merge. Resolve to the primary citation before publishing.",TODO
4,E_RESOLVE_CITATION,,europe,S21,open_via_intermediary,Caracteristiques acoustiques des cris d'echolocation de 16 especes de chiropteres du Maroc.,https://www.researchgate.net/figure/variabilite-acoustique-des-cris-de-Miniopterus-schreibersii-incluant-des-signaux-avec_fig14_260811433,"NORTH AFRICAN. Explicitly notes that species shared between Europe and North Africa may have different sonar characteristics on either side of the Mediterranean. Covers E. isabellinus, M. punicus, P. gaisleri - three of the European species with no European data. NOT INGESTED; only the abstract was retrievable.",TODO
